"""Atmos Mix Number""",AGTRightPosX:,AGTRightPosY:,AGTRightPosZ:,AGTLeftPosX:,AGTLeftPosY:,AGTLeftPosZ:
1,8.415015349,7.990061288,3.694140898,8.415015349,-7.990061288,3.694140898
2,9.148742822,7.292045205,4.256389826,9.148742822,-7.292045205,4.256389826
3,8.19028435,7.466844376,3.766506088,8.19028435,-7.466844376,3.766506088
4,9.922525563,5.166114434,0.859716631,9.922525563,-5.166114434,0.859716631
5,8.731971205,7.007112886,0.9343774592,8.731971205,-7.007112886,0.9343774592
6,9.01117959,5.603291913,0.7753200089,9.01117959,-5.603291913,0.7753200089
7,9.370894113,7.506488733,1.004285507,9.370894113,-7.506488733,1.004285507
8,9.729359008,6.765156505,4.871458659,9.729359008,-6.765156505,4.871458659
9,9.186240493,7.173645956,1.185844138,9.186240493,-7.173645956,1.185844138
10,8.700812488,5.224619452,2.029946522,8.700812488,-5.224619452,2.029946522
11,8.89700196,6.446915459,0.5575252867,8.89700196,-6.446915459,0.5575252867
12,9.325664235,4.364302989,4.447883859,9.325664235,-4.364302989,4.447883859
13,8.428314666,6.758514484,0.6153466813,8.428314666,-6.758514484,0.6153466813
14,8.557264591,7.072653713,0.6247682502,8.557264591,-7.072653713,0.6247682502
15,9.666449035,6.139552261,2.828161595,9.666449035,-6.139552261,2.828161595
16,8.118583676,7.481896916,0.1588845065,8.118583676,-7.481896916,0.1588845065
17,8.785404024,6.701456374,0.8897019948,8.785404024,-6.701456374,0.8897019948
18,9.730880746,5.743045342,2.114220331,9.730880746,-5.743045342,2.114220331
19,8.474539037,7.247987052,3.890418989,8.474539037,-7.247987052,3.890418989
20,9.296040083,6.191963354,3.861690502,9.296040083,-6.191963354,3.861690502
21,9.875506408,6.420458121,1.491033277,9.875506408,-6.420458121,1.491033277
22,8.051731326,6.887083414,1.201060557,8.051731326,-6.887083414,1.201060557
23,8.284251476,6.673574998,2.627274666,8.284251476,-6.673574998,2.627274666
24,8.319878848,5.116455927,3.315643686,8.319878848,-5.116455927,3.315643686
25,8.207608246,5.899335255,1.527346741,8.207608246,-5.899335255,1.527346741
26,8.939511434,5.364528053,2.861746611,8.939511434,-5.364528053,2.861746611
27,8.482861162,7.603119442,3.299171081,8.482861162,-7.603119442,3.299171081
28,9.191870566,7.245052804,3.738199538,9.191870566,-7.245052804,3.738199538
29,9.452648003,6.193347231,4.915496932,9.452648003,-6.193347231,4.915496932
30,9.896877206,7.455985515,0.8855303756,9.896877206,-7.455985515,0.8855303756
31,8.99807194,4.240272344,0.6667107061,8.99807194,-4.240272344,0.6667107061
32,8.325153126,5.867779308,0.724917233,8.325153126,-5.867779308,0.724917233
33,9.212452544,6.619568721,0.5919654271,9.212452544,-6.619568721,0.5919654271
34,8.099463788,5.95330977,0.53762532,8.099463788,-5.95330977,0.53762532
35,9.07060073,6.473706505,0.7705141244,9.07060073,-6.473706505,0.7705141244
36,9.855648104,4.003393268,4.507955827,9.855648104,-4.003393268,4.507955827
37,9.318933486,6.152648468,4.841449801,9.318933486,-6.152648468,4.841449801
38,8.129032314,6.606665362,0.1866891562,8.129032314,-6.606665362,0.1866891562
39,9.466475931,6.051516791,1.609115414,9.466475931,-6.051516791,1.609115414
40,9.792437556,7.929122458,2.485600461,9.792437556,-7.929122458,2.485600461
41,9.963409085,4.925491283,0.9240799795,9.963409085,-4.925491283,0.9240799795
42,8.991897547,6.19204807,3.772993805,8.991897547,-6.19204807,3.772993805
43,9.961142657,7.272715408,4.249716789,9.961142657,-7.272715408,4.249716789
44,9.533041455,6.765001898,0.319605189,9.533041455,-6.765001898,0.319605189
45,9.2859963,5.238305581,1.929147743,9.2859963,-5.238305581,1.929147743
46,8.222989419,4.373211941,1.936039153,8.222989419,-4.373211941,1.936039153
47,8.038794991,7.773090973,1.356816559,8.038794991,-7.773090973,1.356816559
48,9.958988783,5.538714222,1.667640552,9.958988783,-5.538714222,1.667640552
49,9.447593909,6.10836542,1.186558061,9.447593909,-6.10836542,1.186558061
50,8.096606184,5.567109841,4.469000207,8.096606184,-5.567109841,4.469000207
51,9.924183988,6.674108534,1.730173405,9.924183988,-6.674108534,1.730173405
52,9.579028499,4.754492826,2.794896537,9.579028499,-4.754492826,2.794896537
53,9.662057896,7.146741621,0.6267785946,9.662057896,-7.146741621,0.6267785946
54,8.74811886,5.182109991,0.5222779436,8.74811886,-5.182109991,0.5222779436
55,9.300477881,6.179933971,1.206262507,9.300477881,-6.179933971,1.206262507
56,8.001779734,7.212303678,0.8918983944,8.001779734,-7.212303678,0.8918983944
57,8.183746294,6.427162588,1.195886077,8.183746294,-6.427162588,1.195886077
58,9.356590967,4.883407124,0.6395594461,9.356590967,-4.883407124,0.6395594461
59,8.365579561,6.649071187,2.196325245,8.365579561,-6.649071187,2.196325245
60,9.396573292,6.67117696,3.914848017,9.396573292,-6.67117696,3.914848017
61,8.825690685,5.016073981,0.8043778027,8.825690685,-5.016073981,0.8043778027
62,9.446479734,7.950204889,1.277174894,9.446479734,-7.950204889,1.277174894
63,8.240633913,6.233507752,1.209309971,8.240633913,-6.233507752,1.209309971
64,9.540690772,4.923218405,0.1603154387,9.540690772,-4.923218405,0.1603154387
65,9.226228317,5.961868362,4.316735817,9.226228317,-5.961868362,4.316735817
66,9.837288175,4.324398197,2.931170658,9.837288175,-4.324398197,2.931170658
67,9.16828635,4.36967174,0.9394461798,9.16828635,-4.36967174,0.9394461798
68,8.553159132,5.942483546,2.58785953,8.553159132,-5.942483546,2.58785953
69,9.787007595,5.795167237,1.773303757,9.787007595,-5.795167237,1.773303757
70,8.803241455,5.610646623,2.376401753,8.803241455,-5.610646623,2.376401753
71,9.424581319,5.721906445,0.8858899773,9.424581319,-5.721906445,0.8858899773
72,9.479713279,7.995556477,1.112166653,9.479713279,-7.995556477,1.112166653
73,9.972857629,5.970939206,0.3768553975,9.972857629,-5.970939206,0.3768553975
74,9.600762509,5.072879902,2.808080381,9.600762509,-5.072879902,2.808080381
75,9.4172187,7.620578049,3.015823076,9.4172187,-7.620578049,3.015823076
76,8.520490977,4.94832967,0.7005524824,8.520490977,-4.94832967,0.7005524824
77,8.494090999,4.187149004,2.773302884,8.494090999,-4.187149004,2.773302884
78,8.679726901,4.582437129,2.868597489,8.679726901,-4.582437129,2.868597489
79,8.05421277,5.603336193,1.682585284,8.05421277,-5.603336193,1.682585284
80,9.881478665,4.476138659,4.132181884,9.881478665,-4.476138659,4.132181884
81,9.784385818,5.143533802,3.809316941,9.784385818,-5.143533802,3.809316941
82,9.615178348,5.508196231,1.641070324,9.615178348,-5.508196231,1.641070324
83,8.140827606,4.359455332,4.86686231,8.140827606,-4.359455332,4.86686231
84,8.982678952,5.482060964,0.7021170903,8.982678952,-5.482060964,0.7021170903
85,9.142473511,5.058013548,0.2591965962,9.142473511,-5.058013548,0.2591965962
86,8.079390402,7.699205668,1.695949521,8.079390402,-7.699205668,1.695949521
87,8.298991031,7.193588013,1.821649398,8.298991031,-7.193588013,1.821649398
88,8.070424664,5.750844874,0.9863151834,8.070424664,-5.750844874,0.9863151834
89,8.923434347,6.137145032,2.979150572,8.923434347,-6.137145032,2.979150572
90,8.01986246,7.995487774,1.188152353,8.01986246,-7.995487774,1.188152353
91,8.702215765,4.066671286,0.3706541941,8.702215765,-4.066671286,0.3706541941
92,8.158216055,5.713590517,3.022949904,8.158216055,-5.713590517,3.022949904
93,8.245482717,6.200938267,3.569220768,8.245482717,-6.200938267,3.569220768
94,8.617042426,5.112838743,3.819572677,8.617042426,-5.112838743,3.819572677
95,8.780387043,6.338130362,0.4349986743,8.780387043,-6.338130362,0.4349986743
96,8.659912548,7.170961301,1.910945251,8.659912548,-7.170961301,1.910945251
97,8.820701542,4.791257465,2.901397565,8.820701542,-4.791257465,2.901397565
98,9.56626922,5.282607019,2.205450746,9.56626922,-5.282607019,2.205450746
99,8.972601426,5.524932164,3.844525763,8.972601426,-5.524932164,3.844525763
100,9.081062175,4.920359912,2.8783617,9.081062175,-4.920359912,2.8783617
101,9.723263063,6.346938262,1.807050108,9.723263063,-6.346938262,1.807050108
102,8.76163436,6.687587364,0.8129660642,8.76163436,-6.687587364,0.8129660642
103,9.592572404,7.709445843,4.127709099,9.592572404,-7.709445843,4.127709099
104,9.698606124,6.455161223,2.331286677,9.698606124,-6.455161223,2.331286677
105,8.176252296,7.407655172,4.807612423,8.176252296,-7.407655172,4.807612423
106,9.555162375,4.520324784,4.176554762,9.555162375,-4.520324784,4.176554762
107,9.919943371,6.669475928,3.768113989,9.919943371,-6.669475928,3.768113989
108,8.286147186,6.251746884,2.2581377,8.286147186,-6.251746884,2.2581377
109,9.768286545,4.312483695,1.01953673,9.768286545,-4.312483695,1.01953673
110,8.422914876,6.400278613,4.536830115,8.422914876,-6.400278613,4.536830115
111,9.742179988,7.370236809,0.3655480918,9.742179988,-7.370236809,0.3655480918
112,9.6314268,6.632746701,0.6347941211,9.6314268,-6.632746701,0.6347941211
113,9.903703203,6.488004522,2.267847281,9.903703203,-6.488004522,2.267847281
114,8.090324713,7.921452868,0.3986210236,8.090324713,-7.921452868,0.3986210236
115,9.745539437,5.149446873,2.246489891,9.745539437,-5.149446873,2.246489891
116,9.844605257,4.792545919,4.152731258,9.844605257,-4.792545919,4.152731258
117,8.745165667,4.174704894,2.002196418,8.745165667,-4.174704894,2.002196418
118,9.952271156,6.262255641,3.758525218,9.952271156,-6.262255641,3.758525218
119,8.389943718,4.743124849,3.331074362,8.389943718,-4.743124849,3.331074362
120,8.270395667,7.29377394,4.675340342,8.270395667,-7.29377394,4.675340342
