Dynamic Position,Egt2RightPosX:,Egt2RightPosY:,Egt2RightPosZ:,Egt2LeftPosX:,Egt2LeftPosY:,Egt2LeftPosZ:
1,-3.041789656,-4.215786698,1.106077493,3.041789656,-4.215786698,1.106077493
2,-3.021789656,-4.215786698,1.106077493,3.021789656,-4.215786698,1.106077493
3,-2.991789656,-4.215786698,1.106077493,2.991789656,-4.215786698,1.106077493
4,-2.951789656,-4.215786698,1.106077493,2.951789656,-4.215786698,1.106077493
5,-2.901789656,-4.215786698,1.106077493,2.901789656,-4.215786698,1.106077493
6,-2.841789656,-4.215786698,1.106077493,2.841789656,-4.215786698,1.106077493
7,-2.771789656,-4.215786698,1.106077493,2.771789656,-4.215786698,1.106077493
8,-2.691789656,-4.215786698,1.106077493,2.691789656,-4.215786698,1.106077493
9,-2.601789656,-4.215786698,1.106077493,2.601789656,-4.215786698,1.106077493
10,-2.501789656,-4.215786698,1.106077493,2.501789656,-4.215786698,1.106077493
11,-2.391789656,-4.215786698,1.106077493,2.391789656,-4.215786698,1.106077493
12,-2.271789656,-4.215786698,1.106077493,2.271789656,-4.215786698,1.106077493
13,-2.141789656,-4.215786698,1.106077493,2.141789656,-4.215786698,1.106077493
14,-2.001789656,-4.215786698,1.106077493,2.001789656,-4.215786698,1.106077493
15,-1.851789656,-4.215786698,1.106077493,1.851789656,-4.215786698,1.106077493
16,-1.691789656,-4.215786698,1.106077493,1.691789656,-4.215786698,1.106077493
17,-1.521789656,-4.215786698,1.106077493,1.521789656,-4.215786698,1.106077493
18,-1.341789656,-4.215786698,1.106077493,1.341789656,-4.215786698,1.106077493
19,-1.151789656,-4.215786698,1.106077493,1.151789656,-4.215786698,1.106077493
20,-0.9517896563,-4.215786698,1.106077493,0.9517896563,-4.215786698,1.106077493
21,-0.7417896563,-4.215786698,1.106077493,0.7417896563,-4.215786698,1.106077493
22,-0.5217896563,-4.215786698,1.106077493,0.5217896563,-4.215786698,1.106077493
23,-0.2917896563,-4.215786698,1.106077493,0.2917896563,-4.215786698,1.106077493
24,-0.05178965634,-4.215786698,1.106077493,0.05178965634,-4.215786698,1.106077493
25,0.1982103437,-4.215786698,1.106077493,-0.1982103437,-4.215786698,1.106077493
26,0.4582103437,-4.215786698,1.106077493,-0.4582103437,-4.215786698,1.106077493
27,0.7282103437,-4.215786698,1.106077493,-0.7282103437,-4.215786698,1.106077493
