Dynamic Position,Egt2RightPosX:,Egt2RightPosY:,Egt2RightPosZ:,Egt2LeftPosX:,Egt2LeftPosY:,Egt2LeftPosZ:
1,0.5446833941,-1.879555934,0.7873293963,-0.5446833941,-1.879555934,0.7873293963
2,0.5646833941,-1.879555934,0.7873293963,-0.5646833941,-1.879555934,0.7873293963
3,0.5946833941,-1.879555934,0.7873293963,-0.5946833941,-1.879555934,0.7873293963
4,0.6346833941,-1.879555934,0.7873293963,-0.6346833941,-1.879555934,0.7873293963
5,0.6846833941,-1.879555934,0.7873293963,-0.6846833941,-1.879555934,0.7873293963
6,0.7446833941,-1.879555934,0.7873293963,-0.7446833941,-1.879555934,0.7873293963
7,0.8146833941,-1.879555934,0.7873293963,-0.8146833941,-1.879555934,0.7873293963
8,0.8946833941,-1.879555934,0.7873293963,-0.8946833941,-1.879555934,0.7873293963
9,0.9846833941,-1.879555934,0.7873293963,-0.9846833941,-1.879555934,0.7873293963
10,1.084683394,-1.879555934,0.7873293963,-1.084683394,-1.879555934,0.7873293963
11,1.194683394,-1.879555934,0.7873293963,-1.194683394,-1.879555934,0.7873293963
12,1.314683394,-1.879555934,0.7873293963,-1.314683394,-1.879555934,0.7873293963
13,1.444683394,-1.879555934,0.7873293963,-1.444683394,-1.879555934,0.7873293963
14,1.584683394,-1.879555934,0.7873293963,-1.584683394,-1.879555934,0.7873293963
15,1.734683394,-1.879555934,0.7873293963,-1.734683394,-1.879555934,0.7873293963
16,1.894683394,-1.879555934,0.7873293963,-1.894683394,-1.879555934,0.7873293963
17,2.064683394,-1.879555934,0.7873293963,-2.064683394,-1.879555934,0.7873293963
18,2.244683394,-1.879555934,0.7873293963,-2.244683394,-1.879555934,0.7873293963
19,2.434683394,-1.879555934,0.7873293963,-2.434683394,-1.879555934,0.7873293963
20,2.634683394,-1.879555934,0.7873293963,-2.634683394,-1.879555934,0.7873293963
21,2.844683394,-1.879555934,0.7873293963,-2.844683394,-1.879555934,0.7873293963
22,3.064683394,-1.879555934,0.7873293963,-3.064683394,-1.879555934,0.7873293963
23,3.294683394,-1.879555934,0.7873293963,-3.294683394,-1.879555934,0.7873293963
24,3.534683394,-1.879555934,0.7873293963,-3.534683394,-1.879555934,0.7873293963
25,3.784683394,-1.879555934,0.7873293963,-3.784683394,-1.879555934,0.7873293963
26,4.044683394,-1.879555934,0.7873293963,-4.044683394,-1.879555934,0.7873293963
27,4.314683394,-1.879555934,0.7873293963,-4.314683394,-1.879555934,0.7873293963
28,4.594683394,-1.879555934,0.7873293963,-4.594683394,-1.879555934,0.7873293963
29,4.884683394,-1.879555934,0.7873293963,-4.884683394,-1.879555934,0.7873293963
30,5.184683394,-1.879555934,0.7873293963,-5.184683394,-1.879555934,0.7873293963
31,5.494683394,-1.879555934,0.7873293963,-5.494683394,-1.879555934,0.7873293963
32,5.814683394,-1.879555934,0.7873293963,-5.814683394,-1.879555934,0.7873293963
33,6.144683394,-1.879555934,0.7873293963,-6.144683394,-1.879555934,0.7873293963
34,6.484683394,-1.879555934,0.7873293963,-6.484683394,-1.879555934,0.7873293963
35,6.834683394,-1.879555934,0.7873293963,-6.834683394,-1.879555934,0.7873293963
36,7.194683394,-1.879555934,0.7873293963,-7.194683394,-1.879555934,0.7873293963
37,7.564683394,-1.879555934,0.7873293963,-7.564683394,-1.879555934,0.7873293963
38,7.944683394,-1.879555934,0.7873293963,-7.944683394,-1.879555934,0.7873293963
39,8.334683394,-1.879555934,0.7873293963,-8.334683394,-1.879555934,0.7873293963
40,8.734683394,-1.879555934,0.7873293963,-8.734683394,-1.879555934,0.7873293963
41,9.144683394,-1.879555934,0.7873293963,-9.144683394,-1.879555934,0.7873293963
42,9.564683394,-1.879555934,0.7873293963,-9.564683394,-1.879555934,0.7873293963
43,9.994683394,-1.879555934,0.7873293963,-9.994683394,-1.879555934,0.7873293963
44,10.43468339,-1.879555934,0.7873293963,-10.43468339,-1.879555934,0.7873293963
45,10.88468339,-1.879555934,0.7873293963,-10.88468339,-1.879555934,0.7873293963
46,10.43468339,-1.879555934,0.7873293963,-10.43468339,-1.879555934,0.7873293963
47,9.994683394,-1.879555934,0.7873293963,-9.994683394,-1.879555934,0.7873293963
48,9.564683394,-1.879555934,0.7873293963,-9.564683394,-1.879555934,0.7873293963
49,9.144683394,-1.879555934,0.7873293963,-9.144683394,-1.879555934,0.7873293963
50,8.734683394,-1.879555934,0.7873293963,-8.734683394,-1.879555934,0.7873293963
51,8.334683394,-1.879555934,0.7873293963,-8.334683394,-1.879555934,0.7873293963
