Dynamic Position,Egt2RightPosX:,Egt2RightPosY:,Egt2RightPosZ:,Egt2LeftPosX:,Egt2LeftPosY:,Egt2LeftPosZ:
1,0.2097284604,-4.769783495,0.7706759165,-0.2097284604,-4.769783495,0.7706759165
2,0.2297284604,-4.769783495,0.7706759165,-0.2297284604,-4.769783495,0.7706759165
3,0.2597284604,-4.769783495,0.7706759165,-0.2597284604,-4.769783495,0.7706759165
4,0.2997284604,-4.769783495,0.7706759165,-0.2997284604,-4.769783495,0.7706759165
5,0.3497284604,-4.769783495,0.7706759165,-0.3497284604,-4.769783495,0.7706759165
6,0.4097284604,-4.769783495,0.7706759165,-0.4097284604,-4.769783495,0.7706759165
7,0.4797284604,-4.769783495,0.7706759165,-0.4797284604,-4.769783495,0.7706759165
8,0.5597284604,-4.769783495,0.7706759165,-0.5597284604,-4.769783495,0.7706759165
9,0.6497284604,-4.769783495,0.7706759165,-0.6497284604,-4.769783495,0.7706759165
10,0.7497284604,-4.769783495,0.7706759165,-0.7497284604,-4.769783495,0.7706759165
11,0.8597284604,-4.769783495,0.7706759165,-0.8597284604,-4.769783495,0.7706759165
12,0.9797284604,-4.769783495,0.7706759165,-0.9797284604,-4.769783495,0.7706759165
13,1.10972846,-4.769783495,0.7706759165,-1.10972846,-4.769783495,0.7706759165
14,1.24972846,-4.769783495,0.7706759165,-1.24972846,-4.769783495,0.7706759165
15,1.39972846,-4.769783495,0.7706759165,-1.39972846,-4.769783495,0.7706759165
16,1.55972846,-4.769783495,0.7706759165,-1.55972846,-4.769783495,0.7706759165
17,1.72972846,-4.769783495,0.7706759165,-1.72972846,-4.769783495,0.7706759165
18,1.90972846,-4.769783495,0.7706759165,-1.90972846,-4.769783495,0.7706759165
19,2.09972846,-4.769783495,0.7706759165,-2.09972846,-4.769783495,0.7706759165
20,2.29972846,-4.769783495,0.7706759165,-2.29972846,-4.769783495,0.7706759165
21,2.50972846,-4.769783495,0.7706759165,-2.50972846,-4.769783495,0.7706759165
22,2.72972846,-4.769783495,0.7706759165,-2.72972846,-4.769783495,0.7706759165
23,2.95972846,-4.769783495,0.7706759165,-2.95972846,-4.769783495,0.7706759165
24,3.19972846,-4.769783495,0.7706759165,-3.19972846,-4.769783495,0.7706759165
25,3.44972846,-4.769783495,0.7706759165,-3.44972846,-4.769783495,0.7706759165
26,3.70972846,-4.769783495,0.7706759165,-3.70972846,-4.769783495,0.7706759165
27,3.97972846,-4.769783495,0.7706759165,-3.97972846,-4.769783495,0.7706759165
28,4.25972846,-4.769783495,0.7706759165,-4.25972846,-4.769783495,0.7706759165
29,4.54972846,-4.769783495,0.7706759165,-4.54972846,-4.769783495,0.7706759165
30,4.84972846,-4.769783495,0.7706759165,-4.84972846,-4.769783495,0.7706759165
31,5.15972846,-4.769783495,0.7706759165,-5.15972846,-4.769783495,0.7706759165
32,5.47972846,-4.769783495,0.7706759165,-5.47972846,-4.769783495,0.7706759165
33,5.80972846,-4.769783495,0.7706759165,-5.80972846,-4.769783495,0.7706759165
34,6.14972846,-4.769783495,0.7706759165,-6.14972846,-4.769783495,0.7706759165
35,6.49972846,-4.769783495,0.7706759165,-6.49972846,-4.769783495,0.7706759165
36,6.85972846,-4.769783495,0.7706759165,-6.85972846,-4.769783495,0.7706759165
37,7.22972846,-4.769783495,0.7706759165,-7.22972846,-4.769783495,0.7706759165
38,7.60972846,-4.769783495,0.7706759165,-7.60972846,-4.769783495,0.7706759165
39,7.99972846,-4.769783495,0.7706759165,-7.99972846,-4.769783495,0.7706759165
40,8.39972846,-4.769783495,0.7706759165,-8.39972846,-4.769783495,0.7706759165
41,8.80972846,-4.769783495,0.7706759165,-8.80972846,-4.769783495,0.7706759165
42,9.22972846,-4.769783495,0.7706759165,-9.22972846,-4.769783495,0.7706759165
43,9.65972846,-4.769783495,0.7706759165,-9.65972846,-4.769783495,0.7706759165
44,10.09972846,-4.769783495,0.7706759165,-10.09972846,-4.769783495,0.7706759165
45,10.54972846,-4.769783495,0.7706759165,-10.54972846,-4.769783495,0.7706759165
46,10.09972846,-4.769783495,0.7706759165,-10.09972846,-4.769783495,0.7706759165
47,9.65972846,-4.769783495,0.7706759165,-9.65972846,-4.769783495,0.7706759165
48,9.22972846,-4.769783495,0.7706759165,-9.22972846,-4.769783495,0.7706759165
49,8.80972846,-4.769783495,0.7706759165,-8.80972846,-4.769783495,0.7706759165
50,8.39972846,-4.769783495,0.7706759165,-8.39972846,-4.769783495,0.7706759165
51,7.99972846,-4.769783495,0.7706759165,-7.99972846,-4.769783495,0.7706759165
52,7.60972846,-4.769783495,0.7706759165,-7.60972846,-4.769783495,0.7706759165
53,7.22972846,-4.769783495,0.7706759165,-7.22972846,-4.769783495,0.7706759165
54,6.85972846,-4.769783495,0.7706759165,-6.85972846,-4.769783495,0.7706759165
55,6.49972846,-4.769783495,0.7706759165,-6.49972846,-4.769783495,0.7706759165
56,6.14972846,-4.769783495,0.7706759165,-6.14972846,-4.769783495,0.7706759165
57,5.80972846,-4.769783495,0.7706759165,-5.80972846,-4.769783495,0.7706759165
58,5.47972846,-4.769783495,0.7706759165,-5.47972846,-4.769783495,0.7706759165
59,5.15972846,-4.769783495,0.7706759165,-5.15972846,-4.769783495,0.7706759165
60,4.84972846,-4.769783495,0.7706759165,-4.84972846,-4.769783495,0.7706759165
61,4.54972846,-4.769783495,0.7706759165,-4.54972846,-4.769783495,0.7706759165
62,4.25972846,-4.769783495,0.7706759165,-4.25972846,-4.769783495,0.7706759165
63,3.97972846,-4.769783495,0.7706759165,-3.97972846,-4.769783495,0.7706759165
64,3.70972846,-4.769783495,0.7706759165,-3.70972846,-4.769783495,0.7706759165
65,3.44972846,-4.769783495,0.7706759165,-3.44972846,-4.769783495,0.7706759165
66,3.19972846,-4.769783495,0.7706759165,-3.19972846,-4.769783495,0.7706759165
67,2.95972846,-4.769783495,0.7706759165,-2.95972846,-4.769783495,0.7706759165
68,2.72972846,-4.769783495,0.7706759165,-2.72972846,-4.769783495,0.7706759165
69,2.50972846,-4.769783495,0.7706759165,-2.50972846,-4.769783495,0.7706759165
70,2.29972846,-4.769783495,0.7706759165,-2.29972846,-4.769783495,0.7706759165
71,2.09972846,-4.769783495,0.7706759165,-2.09972846,-4.769783495,0.7706759165
72,1.90972846,-4.769783495,0.7706759165,-1.90972846,-4.769783495,0.7706759165
73,1.72972846,-4.769783495,0.7706759165,-1.72972846,-4.769783495,0.7706759165
74,1.55972846,-4.769783495,0.7706759165,-1.55972846,-4.769783495,0.7706759165
75,1.39972846,-4.769783495,0.7706759165,-1.39972846,-4.769783495,0.7706759165
76,1.24972846,-4.769783495,0.7706759165,-1.24972846,-4.769783495,0.7706759165
77,1.10972846,-4.769783495,0.7706759165,-1.10972846,-4.769783495,0.7706759165
78,0.9797284604,-4.769783495,0.7706759165,-0.9797284604,-4.769783495,0.7706759165
79,0.8597284604,-4.769783495,0.7706759165,-0.8597284604,-4.769783495,0.7706759165
80,0.7497284604,-4.769783495,0.7706759165,-0.7497284604,-4.769783495,0.7706759165
81,0.6497284604,-4.769783495,0.7706759165,-0.6497284604,-4.769783495,0.7706759165
82,0.5597284604,-4.769783495,0.7706759165,-0.5597284604,-4.769783495,0.7706759165
83,0.4097284604,-4.769783495,0.7706759165,-0.4097284604,-4.769783495,0.7706759165
84,0.3497284604,-4.769783495,0.7706759165,-0.3497284604,-4.769783495,0.7706759165
85,0.2997284604,-4.769783495,0.7706759165,-0.2997284604,-4.769783495,0.7706759165
86,0.2597284604,-4.769783495,0.7706759165,-0.2597284604,-4.769783495,0.7706759165
87,0.2297284604,-4.769783495,0.7706759165,-0.2297284604,-4.769783495,0.7706759165
88,0.2097284604,-4.769783495,0.7706759165,-0.2097284604,-4.769783495,0.7706759165
89,0.2297284604,-4.769783495,0.7706759165,,-4.769783495,0.7706759165
90,0.2597284604,-4.769783495,0.7706759165,-0.2597284604,-4.769783495,0.7706759165
91,0.2997284604,-4.769783495,0.7706759165,-0.2997284604,-4.769783495,0.7706759165
92,0.3497284604,-4.769783495,0.7706759165,-0.3497284604,-4.769783495,0.7706759165
93,0.4097284604,-4.769783495,0.7706759165,-0.4097284604,-4.769783495,0.7706759165
94,0.5597284604,-4.769783495,0.7706759165,-0.5597284604,-4.769783495,0.7706759165
95,0.6497284604,-4.769783495,0.7706759165,-0.6497284604,-4.769783495,0.7706759165
96,0.7497284604,-4.769783495,0.7706759165,-0.7497284604,-4.769783495,0.7706759165
97,0.8597284604,-4.769783495,0.7706759165,-0.8597284604,-4.769783495,0.7706759165
98,0.9797284604,-4.769783495,0.7706759165,-0.9797284604,-4.769783495,0.7706759165
99,1.10972846,-4.769783495,0.7706759165,-1.10972846,-4.769783495,0.7706759165
100,1.24972846,-4.769783495,0.7706759165,-1.24972846,-4.769783495,0.7706759165
101,1.39972846,-4.769783495,0.7706759165,-1.39972846,-4.769783495,0.7706759165
102,1.55972846,-4.769783495,0.7706759165,-1.55972846,-4.769783495,0.7706759165
103,1.72972846,-4.769783495,0.7706759165,-1.72972846,-4.769783495,0.7706759165
104,1.90972846,-4.769783495,0.7706759165,-1.90972846,-4.769783495,0.7706759165
105,2.09972846,-4.769783495,0.7706759165,-2.09972846,-4.769783495,0.7706759165
106,2.29972846,-4.769783495,0.7706759165,-2.29972846,-4.769783495,0.7706759165
107,2.50972846,-4.769783495,0.7706759165,-2.50972846,-4.769783495,0.7706759165
108,2.72972846,-4.769783495,0.7706759165,-2.72972846,-4.769783495,0.7706759165
